codigo,descricao
1,QUEBRA DE FERRAMENTA
2,AMASSADO
3,CRATERA DE PINTURA
6,MANUSEIO
7,OXIDAÇÃO
8,FORA DIMENSIONAL
9,MARCA DE CAVACO
10,ONDULAÇÃO NA CHAPA
11,ERRO DE POSICIONAMENTO
12,COMPONENTE DESLOCADO
14,IMPUREZAS
15,MANCHA
16,PARCEIRAMENTO DE REFUGO
19,RISCO
20,TRINCAS/ESTIRAMENTO
21,AUSÊNCIA DE FURO
23,FORA DE PASSO
24,EXCESSO DE REBARBAS
27,ROSCA DANIFICADA / OBSTRUIDA
30,DESPLACAMENTO DO TRATAMENTO SUPERFICIAL
31,FIM DE BOBINA
32,PEÇAS TRY OUT
33,PEÇAS DE SET UP
34,FALTA DE MATERIAL NA PEÇA
35,FALHA NA ESTANQUEIDADE
36,PEÇAS DE ENSAIO DESTRUTIVO
37,INÍCIO DE BOBINA PROGRESSÃO
38,AUSÊNCIA / FALHA DE CARIMBO
39,FUGA DE CORRENTE
40,TRINCA NA SOLDA
41,MORDEDURA NA SOLDA
42,POROSIDADE NA SOLDA
43,SOLDA SINUOSA
44,SOLDA VAZADA
45,SOLDA ALTA
46,FURO NA SOLDA
47,AUSÊNCIA DE PORCA
48,AUSÊNCIA DE PARAFUSO
49,AUSÊNCIA DE COMPONENTE
50,PORCA INVERTIDA
